31-57-2022 09:57:04 urllib3.connectionpool:DEBUG:https://www.huaxia.com:443 "GET /c/2022/05/31/1170734.shtml HTTP/1.1" 200 None
31-57-2022 09:57:04 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): edu.gmw.cn:443
31-57-2022 09:57:04 urllib3.connectionpool:DEBUG:https://edu.gmw.cn:443 "GET /2022-05/31/content_35777026.htm HTTP/1.1" 200 12818
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): news.bjd.com.cn:443
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:https://news.bjd.com.cn:443 "GET /2022/05/31/10096037.shtml HTTP/1.1" 200 None
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): m.takefoto.cn:443
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:https://m.takefoto.cn:443 "GET /news/2022/05/31/10096048.shtml HTTP/1.1" 200 None
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): baijiahao.baidu.com:443
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:https://baijiahao.baidu.com:443 "GET /s?id=1734327949731363394&wfr=spider&for=pc HTTP/1.1" 302 0
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): wappass.baidu.com:443
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:https://wappass.baidu.com:443 "GET /static/captcha/tuxing.html?ak=572be823e2f50ea759a616c060d6b9f1&backurl=https%3A%2F%2Fmbd.baidu.com%2Fnewspage%2Fdata%2Flandingsuper%3Fthird%3Dbaijiahao%26baijiahao_id%3D1734327949731363394%26wfr%3Dspider%26c_source%3Dduedge&timestamp=1653991025&signature=8b1d710550658ac0bc4f49f953807a30 HTTP/1.1" 200 None
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTP connection (1): m.thepaper.cn:80
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:http://m.thepaper.cn:80 "GET /newsDetail_forward_18352098 HTTP/1.1" 200 None
31-57-2022 09:57:05 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.163.com:443
31-57-2022 09:57:06 urllib3.connectionpool:DEBUG:https://www.163.com:443 "GET /dy/article/H8N2NEKN0514R9M0.html HTTP/1.1" 403 233
